,names,ratings,prices,images,storages
0,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)",4.5,"₹59,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/i/y/-original-imah4zp7chcqfzwh.jpeg?q=70,
1,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)",4.5,"₹59,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/w/w/-original-imah4zp8pf2uehv4.jpeg?q=70,
2,"SAMSUNG Galaxy S24 5G (Onyx Black, 256 GB)",4.5,"₹65,995",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/w/-original-imahyvnursvngwdm.jpeg?q=70,
3,"SAMSUNG Galaxy S24 5G (Amber Yellow, 256 GB)",4.5,"₹70,990",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/v/5/-original-imahyvnuugkctvwg.jpeg?q=70,
4,"SAMSUNG Galaxy S24 5G (Marble Gray, 256 GB)",4.5,"₹69,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/q/o/galaxy-s24-5g-sm-s921bzacins-samsung-original-imah5tkxbqeyywmz.jpeg?q=70,
5,"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)",4.5,"₹59,990",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/s/o/-original-imah4zp7wzrvzpzx.jpeg?q=70,
6,"SAMSUNG Galaxy S24+ 5G (Onyx Black, 256 GB)",4.5,"₹62,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/c/p/-original-imah4zp8ubnjyztj.jpeg?q=70,
7,"SAMSUNG Galaxy S24 5G (Marble Gray, 128 GB)",4.5,"₹62,195",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/l/f/-original-imahyvnfvxukcabf.jpeg?q=70,
8,"SAMSUNG Galaxy S24 5G (Cobalt Violet, 128 GB)",4.5,"₹62,695",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/g/y/-original-imahyvnuptvxgany.jpeg?q=70,
9,"SAMSUNG Galaxy S24 5G (Amber Yellow, 512 GB)",4.5,"₹82,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/f/g/-original-imahyvnutabrgzyn.jpeg?q=70,
